userId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,titles
1,4.322222222,4.388235294,4.689655172,4.547619048,4.277108434,4.355555556,0,4.529411765,4.29787234,5,3.470588235,0,4.681818182,4.166666667,4.307692308,4.225,4.145454545,4.5,4.285714286,"['Seven (a.k.a. Se7en) (1995)', 'Usual Suspects, The (1995)', 'Bottle Rocket (1996)', 'Rob Roy (1995)', 'Canadian Bacon (1995)', 'Desperado (1995)', 'Billy Madison (1995)', 'Dumb & Dumber (Dumb and Dumber) (1994)', 'Star Wars: Episode IV - A New Hope (1977)', 'Tommy Boy (1995)']"
2,3.954545455,4.166666667,0,0,4,3.8,4.333333333,3.882352941,0,0,3,3.75,0,4,4.5,3.875,3.7,4.5,3.5,"['Step Brothers (2008)', 'Inside Job (2010)', 'Warrior (2011)', 'Wolf of Wall Street, The (2013)', 'Mad Max: Fury Road (2015)', 'The Jinx: The Life and Deaths of Robert Durst (2015)', 'Good Will Hunting (1997)', 'Dark Knight, The (2008)', 'Inglourious Basterds (2009)', 'Town, The (2010)']"
3,3.571428571,2.727272727,0.5,0.5,1,0.5,0,0.75,3.375,0,4.6875,0,0.5,5,0.5,4.2,4.142857143,0.5,0,"['Escape from L.A. (1996)', 'Saturn 3 (1980)', 'Road Warrior, The (Mad Max 2) (1981)', 'The Lair of the White Worm (1988)', 'Hangar 18 (1980)', 'Galaxy of Terror (Quest) (1981)', 'Android (1982)', 'Alien Contamination (1980)', 'Death Race 2000 (1975)', 'Troll 2 (1990)']"
4,3.32,3.655172414,4,3.8,3.509615385,3.814814815,4,3.483333333,3.684210526,4,4.25,3,4,3.47826087,3.379310345,2.833333333,3.552631579,3.571428571,3.8,"['Flirting With Disaster (1996)', 'Crumb (1994)', 'Living in Oblivion (1995)', 'Before Sunrise (1995)', 'Eat Drink Man Woman (Yin shi nan nu) (1994)', 'Star Wars: Episode IV - A New Hope (1977)', 'Like Water for Chocolate (Como agua para chocolate) (1992)', 'Shallow Grave (1994)', ""Muriel's Wedding (1994)"", 'Fugitive, The (1993)']"
5,3.111111111,3.25,4.333333333,4.111111111,3.466666667,3.833333333,0,3.8,4.142857143,0,3,3.666666667,4.4,4,3.090909091,2.5,3.555555556,3.333333333,3,"['Postman, The (Postino, Il) (1994)', 'Heavenly Creatures (1994)', 'Once Were Warriors (1994)', 'Pulp Fiction (1994)', 'In the Name of the Father (1993)', ""Schindler's List (1993)"", 'Dances with Wolves (1990)', 'Snow White and the Seven Dwarfs (1937)', 'Beauty and the Beast (1991)', 'Pinocchio (1940)']"
6,3.609375,3.893617021,4.071428571,3.617021277,3.37007874,3.285714286,0,3.614285714,3.538461538,2.5,3.263157895,4.666666667,4.166666667,3.733333333,3.614285714,3.476190476,3.544117647,3.583333333,3.818181818,"['Grumpier Old Men (1995)', 'Father of the Bride Part II (1995)', 'Copycat (1995)', 'Dead Man Walking (1995)', 'White Squall (1996)', 'Braveheart (1995)', 'Congo (1995)', 'First Knight (1995)', 'Dolores Claiborne (1995)', 'Houseguest (1994)']"
7,3.2578125,3.314814815,3.392857143,3.2,3.163265306,3.307692308,0,3.131578947,3.065217391,3.25,4,2.454545455,3.666666667,3.178571429,2.65,3.154761905,3.430232558,3.291666667,1.5,"['Star Wars: Episode IV - A New Hope (1977)', 'Forrest Gump (1994)', 'Hot Shots! Part Deux (1993)', 'Jurassic Park (1993)', 'Silence of the Lambs, The (1991)', 'Psycho (1960)', 'Terminator, The (1984)', 'Back to the Future (1985)', 'Contact (1997)', 'Seven Samurai (Shichinin no samurai) (1954)']"
8,3.333333333,3.545454545,5,4.25,3.208333333,3.888888889,0,3.789473684,3.25,0,4.5,4.5,5,4,3.5,3.25,3.75,3.666666667,3,"['Babe (1995)', 'Usual Suspects, The (1995)', 'Net, The (1995)', 'Interview with the Vampire: The Vampire Chronicles (1994)', 'Shawshank Redemption, The (1994)', 'Four Weddings and a Funeral (1994)', 'Lion King, The (1994)', 'True Lies (1994)', ""Schindler's List (1993)"", 'Dances with Wolves (1990)']"
9,3.125,3.8,4,4,3.666666667,3.142857143,0,3.428571429,5,4,1.8,3,3,4,3.166666667,3,2.545454545,3.5,4,"['Citizen Kane (1941)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Back to the Future (1985)', 'Producers, The (1968)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Austin Powers in Goldmember (2002)', 'Adaptation (2002)', 'Lord of the Rings: The Two Towers, The (2002)', 'Clerks (1994)', 'Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)']"
10,3.5,3.580645161,3.866666667,3.607142857,3.265822785,3.115384615,0,3.152777778,3.441176471,0,1.75,3.361111111,3.333333333,2.166666667,3.333333333,2,3.076923077,3.75,0,"['Troy (2004)', 'Notebook, The (2004)', 'First Daughter (2004)', 'Batman Begins (2005)', 'Casino Royale (2006)', 'Holiday, The (2006)', 'Education, An (2009)', 'Despicable Me (2010)', ""King's Speech, The (2010)"", 'Dark Knight Rises, The (2012)']"
