userId,Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),"Matrix, The (1999)","Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Braveheart (1995),Jurassic Park (1993),Schindler's List (1993),American Beauty (1999),Terminator 2: Judgment Day (1991),Fight Club (1999),Toy Story (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Star Wars: Episode V - The Empire Strikes Back (1980),favourite_genre
1,4.0,0.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0.0,5.0,4.0,5.0,5.0,Film-Noir
5,0.0,3.0,5.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,0.0,Animation
7,5.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,4.0,2.5,0.0,4.5,0.0,4.0,Film-Noir
15,5.0,5.0,4.0,4.0,0.0,5.0,0.0,0.0,5.0,4.0,5.0,2.5,2.5,4.0,5.0,Animation
17,5.0,5.0,5.0,5.0,4.5,5.0,4.5,4.5,4.5,4.0,4.5,4.5,4.5,4.5,5.0,Film-Noir
19,2.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,4.0,5.0,5.0,4.0,5.0,4.0,Film-Noir
21,4.5,0.0,3.5,4.0,0.0,4.5,0.0,4.0,0.0,2.0,3.5,2.0,3.5,4.0,4.5,Film-Noir
27,5.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,Film-Noir
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,Animation
33,5.0,4.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,0.0,Film-Noir
43,5.0,4.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,Animation
45,5.0,0.0,5.0,5.0,4.0,5.0,5.0,4.0,0.0,5.0,5.0,5.0,4.0,4.0,5.0,Animation
57,4.0,0.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,0.0,5.0,5.0,4.0,Film-Noir
